supplier_id,business_name,registration_number,status,registration_date,business_type,industry_category,state,verification_status,verification_reason
BUS0000028,SmartServe Services,RC384072,registered,,Public Limited Company,Telecommunications,Niger,REJECTED,Missing or invalid registration date
BUS0000029,Sunrise Traders,RC168694,registered,2023-10-09,Cooperative Society,Manufacturing,Lagos,VERIFIED,Business passed basic verification
BUS0000030,Olive Oil Processing,RC226461,registered,,Partnership,Agriculture,Zamfara,REJECTED,Missing or invalid registration date
BUS0000031,BlueOcean Logistics,RC470141,registered,,Public Limited Company,Fashion,Edo,REJECTED,Missing or invalid registration date
BUS0000032,Zenith Media,RC722477,registered,,Non-Profit Organization,Construction,Adamawa,REJECTED,Missing or invalid registration date
BUS0000033,Summit Engineering,RC313987,registered,2016-08-08,Non-Profit Organization,Consulting,Delta,VERIFIED,Business passed basic verification
BUS0000034,SmartServe Services,RC821392,registered,2023-07-09,Limited Liability Company,Tourism,Ondo,VERIFIED,Business passed basic verification
BUS0000035,Spectrum Energy,RC754292,registered,,Partnership,Tourism,Sokoto,REJECTED,Missing or invalid registration date
BUS0000036,Guardian Security Services,RC214674,registered,,Partnership,Tourism,Kebbi,REJECTED,Missing or invalid registration date
BUS0000037,Lakeside Traders,RC167651,registered,2020-11-03,Business Name,Facility Management,Rivers,VERIFIED,Business passed basic verification
BUS0000038,PrimeBuild Construction,RC951052,registered,,Partnership,Advertising,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000039,Silverline Manufacturing,RC951268,registered,,Limited Liability Company,Entertainment,Bauchi,REJECTED,Missing or invalid registration date
BUS0000040,Summit Engineering,RC592929,registered,2023-09-11,Enterprise,Wholesale,Sokoto,VERIFIED,Business passed basic verification
BUS0000041,Mercury Marketing,RC940231,registered,2016-01-09,Enterprise,Manufacturing,Sokoto,VERIFIED,Business passed basic verification
BUS0000042,Heritage Consulting,RC184064,registered,,Business Name,Automotive,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000043,CitiCenter Supplies,RC651919,registered,2017-02-08,Sole Proprietorship,Healthcare,Lagos,VERIFIED,Business passed basic verification
BUS0000044,Apex Retailers,RC311824,registered,,Limited Liability Company,Food Processing,Kaduna,REJECTED,Missing or invalid registration date
BUS0000045,Golden Harvest Foods,RC927515,registered,2015-09-10,Partnership,Wholesale,Gombe,VERIFIED,Business passed basic verification
BUS0000046,Heritage Consulting,RC118710,registered,,Business Name,Entertainment,Osun,REJECTED,Missing or invalid registration date
BUS0000047,Zenith Media,RC543438,registered,,Partnership,Fintech,Bauchi,REJECTED,Missing or invalid registration date
BUS0000048,Lakeside Traders,RC806124,registered,2024-10-02,Public Limited Company,Entertainment,Kwara,FLAGGED,Recently registered business
BUS0000049,Starlight Fabrics,RC350496,registered,,Limited Liability Company,Telecommunications,Gombe,REJECTED,Missing or invalid registration date
BUS0000050,Heritage Consulting,RC736639,registered,,Limited Liability Company,Media,Taraba,REJECTED,Missing or invalid registration date
BUS0000051,Lakeside Traders,RC408864,registered,2023-03-07,Public Limited Company,Renewable Energy,Ekiti,VERIFIED,Business passed basic verification
BUS0000052,Pioneer Foods,RC637696,registered,2019-05-12,Non-Profit Organization,Tourism,Jigawa,VERIFIED,Business passed basic verification
BUS0000053,Bright Learning Institute,RC372558,registered,2025-10-05,Cooperative Society,Food Processing,Sokoto,FLAGGED,Recently registered business
BUS0000054,Atlas Transport,RC944952,registered,,Limited Liability Company,Marketing,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000055,Heritage Consulting,RC333887,registered,2017-01-08,Sole Proprietorship,Beverages,Gombe,VERIFIED,Business passed basic verification
BUS0000056,Sunbeam Electricals,RC377576,registered,2024-09-01,Enterprise,Marketing,Osun,FLAGGED,Recently registered business
BUS0000057,Urban Farm Produce,RC838228,registered,,Public Limited Company,Trading,Taraba,REJECTED,Missing or invalid registration date
BUS0000058,Olive Oil Processing,RC534730,registered,2017-01-02,Limited Liability Company,Tourism,Anambra,VERIFIED,Business passed basic verification
BUS0000059,Olive Oil Processing,RC311742,registered,2020-09-05,Business Name,Agro-processing,Taraba,VERIFIED,Business passed basic verification
BUS0000060,Royal Furnishings,RC806279,registered,2021-05-02,Business Name,Facility Management,Niger,VERIFIED,Business passed basic verification
BUS0000061,Silverline Manufacturing,RC742133,registered,,Public Limited Company,Transportation,Gombe,REJECTED,Missing or invalid registration date
BUS0000062,HarborTech Systems,RC803954,registered,,Non-Profit Organization,Media,Abia,REJECTED,Missing or invalid registration date
BUS0000063,Summit Engineering,RC263689,registered,,Public Limited Company,Microfinance,Zamfara,REJECTED,Missing or invalid registration date
BUS0000064,Orchid Pharmaceuticals,RC492795,registered,,Partnership,Human Resources,Ekiti,REJECTED,Missing or invalid registration date
BUS0000065,Nova Industrial Works,RC854596,registered,,Enterprise,Wholesale,Yobe,REJECTED,Missing or invalid registration date
BUS0000066,Urban Retail Hub,RC930267,registered,,Public Limited Company,Automotive,Ondo,REJECTED,Missing or invalid registration date
BUS0000067,Urban Farm Produce,RC698991,registered,2018-12-08,Non-Profit Organization,Food Processing,Kano,VERIFIED,Business passed basic verification
BUS0000068,Pioneer Foods,RC708899,registered,2022-06-02,Non-Profit Organization,Fashion,Kwara,VERIFIED,Business passed basic verification
BUS0000069,GreenField Farms Ltd,RC341424,registered,2021-09-03,Limited Liability Company,Consulting,Akwa Ibom,VERIFIED,Business passed basic verification
BUS0000070,Atlas Transport,RC446282,registered,,Non-Profit Organization,Human Resources,Enugu,REJECTED,Missing or invalid registration date
BUS0000071,Unity Supplies Nigeria,RC383165,registered,,Enterprise,Advertising,Oyo,REJECTED,Missing or invalid registration date
BUS0000072,Pioneer Foods,RC340889,registered,,Sole Proprietorship,Real Estate,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000073,Nova Industrial Works,RC133219,registered,2025-03-08,Enterprise,Agriculture,Bayelsa,FLAGGED,Recently registered business
BUS0000074,Apex Retailers,RC231257,registered,2025-10-02,Non-Profit Organization,Textiles,Plateau,FLAGGED,Recently registered business
BUS0000075,Prime Health Supplies,RC338089,registered,,Public Limited Company,Pharmaceuticals,Yobe,REJECTED,Missing or invalid registration date
BUS0000076,Atlas Transport,RC987064,registered,,Partnership,Renewable Energy,Osun,REJECTED,Missing or invalid registration date
BUS0000077,Sunrise Traders,RC627420,registered,,Business Name,Food Processing,Sokoto,REJECTED,Missing or invalid registration date
BUS0000078,Evergreen Agro,RC277073,registered,2024-08-10,Limited Liability Company,Consulting,Katsina,FLAGGED,Recently registered business
BUS0000079,BlueOcean Logistics,RC441229,registered,,Cooperative Society,Consulting,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000080,Unity Supplies Nigeria,RC190828,registered,,Limited Liability Company,Hospitality,Plateau,REJECTED,Missing or invalid registration date
BUS0000081,Crown Textiles,RC659711,registered,,Partnership,Real Estate,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000082,Orchid Pharmaceuticals,RC623550,registered,,Business Name,Fashion,Kano,REJECTED,Missing or invalid registration date
BUS0000083,SkyHigh Enterprises,RC555576,registered,,Cooperative Society,Agro-processing,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000084,Crestfield Trading,RC559750,registered,2020-05-04,Cooperative Society,E-commerce,Oyo,VERIFIED,Business passed basic verification
BUS0000085,Vertex Global Services,RC655479,registered,2020-08-01,Public Limited Company,Consulting,Ogun,VERIFIED,Business passed basic verification
BUS0000086,Prime Health Supplies,RC238296,registered,2021-08-12,Non-Profit Organization,Retail,Adamawa,VERIFIED,Business passed basic verification
BUS0000087,Golden Harvest Foods,RC185768,registered,2015-03-02,Enterprise,Advertising,Kano,VERIFIED,Business passed basic verification
BUS0000088,Royal Furnishings,RC335760,registered,2023-02-04,Public Limited Company,Beverages,Ondo,VERIFIED,Business passed basic verification
BUS0000089,BlueOcean Logistics,RC502552,registered,2022-01-06,Business Name,Real Estate,Imo,VERIFIED,Business passed basic verification
BUS0000090,Apex Retailers,RC291275,registered,,Enterprise,Advertising,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000091,GreenField Farms Ltd,RC798853,registered,2019-11-08,Enterprise,Logistics,Oyo,VERIFIED,Business passed basic verification
BUS0000092,Crestfield Trading,RC170574,registered,,Non-Profit Organization,Fashion,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000093,MetroLink Ventures,RC345760,registered,,Enterprise,Fintech,Sokoto,REJECTED,Missing or invalid registration date
BUS0000094,Spectrum Energy,RC924822,registered,2021-05-11,Sole Proprietorship,Hospitality,Abia,VERIFIED,Business passed basic verification
BUS0000095,Urban Retail Hub,RC542508,registered,2016-06-04,Limited Liability Company,Consulting,Bauchi,VERIFIED,Business passed basic verification
BUS0000096,Royal Furnishings,RC600676,registered,2025-04-08,Partnership,E-commerce,Enugu,FLAGGED,Recently registered business
BUS0000097,Guardian Security Services,RC650895,registered,2019-06-11,Enterprise,Manufacturing,Enugu,VERIFIED,Business passed basic verification
BUS0000098,MetroLink Ventures,RC116180,registered,,Partnership,Hospitality,Adamawa,REJECTED,Missing or invalid registration date
BUS0000099,Cornerstone Ventures,RC940955,registered,,Sole Proprietorship,Trading,Rivers,REJECTED,Missing or invalid registration date
BUS0000100,Guardian Security Services,RC500500,registered,,Enterprise,Microfinance,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000101,Nimbus IT Solutions,RC275532,registered,,Non-Profit Organization,Telecommunications,Ondo,REJECTED,Missing or invalid registration date
BUS0000102,Horizon Auto Parts,RC934498,registered,,Cooperative Society,Tourism,Sokoto,REJECTED,Missing or invalid registration date
BUS0000103,Olive Oil Processing,RC485764,registered,,Sole Proprietorship,Automotive,Plateau,REJECTED,Missing or invalid registration date
BUS0000104,Evergreen Agro,RC909909,registered,,Public Limited Company,Microfinance,Gombe,REJECTED,Missing or invalid registration date
BUS0000105,Sunbeam Electricals,RC997496,registered,2023-08-02,Limited Liability Company,Healthcare,Benue,VERIFIED,Business passed basic verification
BUS0000106,Prime Health Supplies,RC495461,registered,,Public Limited Company,Logistics,Kwara,REJECTED,Missing or invalid registration date
BUS0000107,Nimbus IT Solutions,RC535234,registered,,Cooperative Society,Pharmaceuticals,Edo,REJECTED,Missing or invalid registration date
BUS0000108,EcoTech Solutions Ltd,RC101223,registered,,Sole Proprietorship,Fintech,Kogi,REJECTED,Missing or invalid registration date
BUS0000109,Orchid Pharmaceuticals,RC673638,registered,2023-05-05,Limited Liability Company,Legal Services,Lagos,VERIFIED,Business passed basic verification
BUS0000110,Evergreen Agro,RC565085,registered,2025-10-03,Cooperative Society,Hospitality,Ogun,FLAGGED,Recently registered business
BUS0000111,Lakeside Traders,RC112565,registered,,Non-Profit Organization,Textiles,Kogi,REJECTED,Missing or invalid registration date
BUS0000112,Prime Health Supplies,RC107772,registered,,Non-Profit Organization,Pharmaceuticals,Akwa Ibom,REJECTED,Missing or invalid registration date
BUS0000113,Urban Retail Hub,RC798790,registered,,Non-Profit Organization,Healthcare,Osun,REJECTED,Missing or invalid registration date
BUS0000114,Unity Supplies Nigeria,RC747124,registered,,Partnership,Logistics,Lagos,REJECTED,Missing or invalid registration date
BUS0000115,Urban Retail Hub,RC268530,registered,2018-01-07,Non-Profit Organization,Healthcare,Jigawa,VERIFIED,Business passed basic verification
BUS0000116,Elite Cleaning Co,RC694418,registered,,Limited Liability Company,Food Processing,Rivers,REJECTED,Missing or invalid registration date
BUS0000117,Crown Textiles,RC244919,registered,,Sole Proprietorship,Food Processing,Nasarawa,REJECTED,Missing or invalid registration date
BUS0000118,Olive Oil Processing,RC984645,registered,2022-04-03,Cooperative Society,Pharmaceuticals,Delta,VERIFIED,Business passed basic verification
BUS0000119,Summit Engineering,RC899694,registered,,Limited Liability Company,Consulting,Benue,REJECTED,Missing or invalid registration date
BUS0000120,MetroLink Ventures,RC790779,registered,2015-12-08,Enterprise,Information Technology,Osun,VERIFIED,Business passed basic verification
BUS0000121,GreenField Farms Ltd,RC839695,registered,,Public Limited Company,Food Processing,Abia,REJECTED,Missing or invalid registration date
BUS0000122,Prime Health Supplies,RC401808,registered,2019-02-12,Sole Proprietorship,Manufacturing,Ondo,VERIFIED,Business passed basic verification
BUS0000123,Summit Engineering,RC250003,registered,2024-12-04,Business Name,Textiles,Rivers,FLAGGED,Recently registered business
BUS0000124,BrightWave Technologies,RC292038,registered,,Business Name,Manufacturing,Taraba,REJECTED,Missing or invalid registration date
BUS0000125,Olive Oil Processing,RC459388,registered,,Public Limited Company,Waste Management,Abia,REJECTED,Missing or invalid registration date
BUS0000126,Mercury Marketing,RC683764,registered,,Cooperative Society,Facility Management,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000127,CitiCenter Supplies,RC312151,registered,,Enterprise,Media,Ekiti,REJECTED,Missing or invalid registration date
BUS0000128,Guardian Security Services,RC466384,registered,2022-05-08,Partnership,Consulting,Borno,VERIFIED,Business passed basic verification
BUS0000129,CitiCenter Supplies,RC834660,registered,,Partnership,Facility Management,Imo,REJECTED,Missing or invalid registration date
BUS0000130,Bright Learning Institute,RC151714,registered,,Non-Profit Organization,E-commerce,Delta,REJECTED,Missing or invalid registration date
BUS0000131,HarborTech Systems,RC638515,registered,,Public Limited Company,Consulting,Ondo,REJECTED,Missing or invalid registration date
BUS0000132,Alpha Systems Ltd,RC729583,registered,,Business Name,Food Processing,Ogun,REJECTED,Missing or invalid registration date
BUS0000133,Evergreen Agro,RC383307,registered,2019-04-04,Public Limited Company,Tourism,Bauchi,VERIFIED,Business passed basic verification
BUS0000134,Crestfield Trading,RC533019,registered,,Partnership,Facility Management,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000135,Vertex Global Services,RC442250,registered,2015-04-01,Non-Profit Organization,Tourism,Kogi,VERIFIED,Business passed basic verification
BUS0000136,Heritage Consulting,RC355718,registered,,Sole Proprietorship,Marketing,Delta,REJECTED,Missing or invalid registration date
BUS0000137,Golden Harvest Foods,RC556650,registered,2025-08-03,Limited Liability Company,Logistics,Bauchi,FLAGGED,Recently registered business
BUS0000138,Sunbeam Electricals,RC554711,registered,2017-03-04,Cooperative Society,Fashion,Benue,VERIFIED,Business passed basic verification
BUS0000139,Nimbus IT Solutions,RC889573,registered,,Business Name,Food Processing,Niger,REJECTED,Missing or invalid registration date
BUS0000140,Heritage Consulting,RC255733,registered,2015-06-03,Non-Profit Organization,E-commerce,Kano,VERIFIED,Business passed basic verification
BUS0000141,Royal Furnishings,RC668908,registered,,Public Limited Company,Security Services,Kaduna,REJECTED,Missing or invalid registration date
BUS0000142,Royal Furnishings,RC691515,registered,,Sole Proprietorship,Media,Jigawa,REJECTED,Missing or invalid registration date
BUS0000143,Starlight Fabrics,RC196667,registered,,Sole Proprietorship,Trading,Taraba,REJECTED,Missing or invalid registration date
BUS0000144,Bright Learning Institute,RC979833,registered,2017-10-10,Enterprise,Manufacturing,Plateau,VERIFIED,Business passed basic verification
BUS0000145,SkyHigh Enterprises,RC599210,registered,,Business Name,Hospitality,Ogun,REJECTED,Missing or invalid registration date
BUS0000146,Atlas Transport,RC575076,registered,,Partnership,Education,Anambra,REJECTED,Missing or invalid registration date
BUS0000147,BrightWave Technologies,RC830706,registered,2023-02-06,Business Name,Beverages,Gombe,VERIFIED,Business passed basic verification
BUS0000148,Royal Furnishings,RC755186,registered,,Limited Liability Company,Security Services,Nasarawa,REJECTED,Missing or invalid registration date
BUS0000149,Nimbus IT Solutions,RC528064,registered,,Cooperative Society,Construction,Abia,REJECTED,Missing or invalid registration date
BUS0000150,BrightWave Technologies,RC257294,registered,2017-11-03,Cooperative Society,Consulting,Katsina,VERIFIED,Business passed basic verification
BUS0000151,MetroLink Ventures,RC534018,registered,,Public Limited Company,Telecommunications,Sokoto,REJECTED,Missing or invalid registration date
BUS0000152,Apex Retailers,RC838345,registered,2018-04-11,Non-Profit Organization,Human Resources,Bauchi,VERIFIED,Business passed basic verification
BUS0000153,Bountiful Beverages,RC280380,registered,,Public Limited Company,Wholesale,Abia,REJECTED,Missing or invalid registration date
BUS0000154,Bright Learning Institute,RC295621,registered,,Non-Profit Organization,Legal Services,Gombe,REJECTED,Missing or invalid registration date
BUS0000155,Urban Retail Hub,RC457305,registered,,Cooperative Society,Legal Services,Yobe,REJECTED,Missing or invalid registration date
BUS0000156,Prime Health Supplies,RC371847,registered,,Non-Profit Organization,Wholesale,Ekiti,REJECTED,Missing or invalid registration date
BUS0000157,Apex Retailers,RC519367,registered,,Public Limited Company,E-commerce,Kano,REJECTED,Missing or invalid registration date
BUS0000158,Orchid Pharmaceuticals,RC943077,registered,,Sole Proprietorship,Agro-processing,Delta,REJECTED,Missing or invalid registration date
BUS0000159,HarborTech Systems,RC119139,registered,2018-12-12,Sole Proprietorship,Agriculture,Anambra,VERIFIED,Business passed basic verification
BUS0000160,Urban Retail Hub,RC839630,registered,,Limited Liability Company,Renewable Energy,Ogun,REJECTED,Missing or invalid registration date
BUS0000161,Starlight Fabrics,RC242106,registered,,Limited Liability Company,Security Services,Edo,REJECTED,Missing or invalid registration date
BUS0000162,Atlas Transport,RC166150,registered,,Business Name,Consulting,Adamawa,REJECTED,Missing or invalid registration date
BUS0000163,Horizon Auto Parts,RC943982,registered,2021-07-07,Partnership,Microfinance,Enugu,VERIFIED,Business passed basic verification
BUS0000164,Crown Textiles,RC725960,registered,2017-06-01,Sole Proprietorship,Financial Services,Enugu,VERIFIED,Business passed basic verification
BUS0000165,BrightWave Technologies,RC714068,registered,2022-12-03,Limited Liability Company,Human Resources,Lagos,VERIFIED,Business passed basic verification
BUS0000166,Golden Harvest Foods,RC463032,registered,,Enterprise,E-commerce,Bauchi,REJECTED,Missing or invalid registration date
BUS0000167,Crestfield Trading,RC366671,registered,,Public Limited Company,Advertising,Adamawa,REJECTED,Missing or invalid registration date
BUS0000168,Golden Harvest Foods,RC910994,registered,,Cooperative Society,Facility Management,Anambra,REJECTED,Missing or invalid registration date
BUS0000169,Vertex Global Services,RC439270,registered,,Limited Liability Company,Advertising,Oyo,REJECTED,Missing or invalid registration date
BUS0000170,Bountiful Beverages,RC518250,registered,,Public Limited Company,Facility Management,Kebbi,REJECTED,Missing or invalid registration date
BUS0000171,Nova Industrial Works,RC674721,registered,,Business Name,Microfinance,Ondo,REJECTED,Missing or invalid registration date
BUS0000172,Unity Supplies Nigeria,RC978903,registered,2022-11-11,Enterprise,Transportation,Sokoto,VERIFIED,Business passed basic verification
BUS0000173,Zenith Media,RC510089,registered,,Business Name,Real Estate,Niger,REJECTED,Missing or invalid registration date
BUS0000174,SkyHigh Enterprises,RC130731,registered,,Enterprise,Fintech,Benue,REJECTED,Missing or invalid registration date
BUS0000175,Golden Harvest Foods,RC894091,registered,2021-03-02,Business Name,Tourism,Cross River,VERIFIED,Business passed basic verification
BUS0000176,Nimbus IT Solutions,RC221272,registered,2022-05-01,Partnership,Automotive,Katsina,VERIFIED,Business passed basic verification
BUS0000177,Bountiful Beverages,RC407648,registered,2024-04-11,Cooperative Society,Advertising,Ogun,FLAGGED,Recently registered business
BUS0000178,GreenField Farms Ltd,RC758877,registered,,Public Limited Company,Consulting,Ogun,REJECTED,Missing or invalid registration date
BUS0000179,Atlas Transport,RC796682,registered,,Sole Proprietorship,EdTech,Ondo,REJECTED,Missing or invalid registration date
BUS0000180,Crestfield Trading,RC225429,registered,2016-05-04,Non-Profit Organization,Trading,Ekiti,VERIFIED,Business passed basic verification
BUS0000181,Spectrum Energy,RC392503,registered,2024-09-09,Cooperative Society,Waste Management,Rivers,FLAGGED,Recently registered business
BUS0000182,GreenField Farms Ltd,RC283859,registered,2020-12-03,Sole Proprietorship,Healthcare,Kebbi,VERIFIED,Business passed basic verification
BUS0000183,Zenith Media,RC982497,registered,2020-12-01,Business Name,Facility Management,Sokoto,VERIFIED,Business passed basic verification
BUS0000184,Urban Farm Produce,RC131100,registered,,Public Limited Company,E-commerce,Enugu,REJECTED,Missing or invalid registration date
BUS0000185,Bright Learning Institute,RC485263,registered,,Cooperative Society,Manufacturing,Anambra,REJECTED,Missing or invalid registration date
BUS0000186,GreenField Farms Ltd,RC385712,registered,,Partnership,EdTech,Benue,REJECTED,Missing or invalid registration date
BUS0000187,SmartServe Services,RC100085,registered,2025-08-01,Business Name,Retail,Oyo,FLAGGED,Recently registered business
BUS0000188,Spectrum Energy,RC115741,registered,,Enterprise,Security Services,Plateau,REJECTED,Missing or invalid registration date
BUS0000189,CitiCenter Supplies,RC231760,registered,2023-12-07,Enterprise,Marketing,Ekiti,VERIFIED,Business passed basic verification
BUS0000190,MetroLink Ventures,RC787018,registered,,Sole Proprietorship,Advertising,Yobe,REJECTED,Missing or invalid registration date
BUS0000191,MetroLink Ventures,RC435380,registered,2023-10-10,Public Limited Company,Advertising,Katsina,VERIFIED,Business passed basic verification
BUS0000192,PrimeBuild Construction,RC890695,registered,2024-04-04,Cooperative Society,Fintech,Plateau,FLAGGED,Recently registered business
BUS0000193,Bountiful Beverages,RC865403,registered,,Sole Proprietorship,Real Estate,Taraba,REJECTED,Missing or invalid registration date
BUS0000194,SkyHigh Enterprises,RC279314,registered,,Cooperative Society,Agro-processing,Borno,REJECTED,Missing or invalid registration date
BUS0000195,Vertex Global Services,RC295708,registered,,Partnership,Education,Anambra,REJECTED,Missing or invalid registration date
BUS0000196,HarborTech Systems,RC845038,registered,,Cooperative Society,Logistics,Jigawa,REJECTED,Missing or invalid registration date
BUS0000197,HarborTech Systems,RC715113,registered,,Cooperative Society,Real Estate,Lagos,REJECTED,Missing or invalid registration date
BUS0000198,EcoTech Solutions Ltd,RC955907,registered,2016-01-10,Partnership,Media,Osun,VERIFIED,Business passed basic verification
BUS0000199,Atlas Transport,RC265148,registered,,Enterprise,Marketing,Lagos,REJECTED,Missing or invalid registration date
BUS0000200,Royal Furnishings,RC361264,registered,,Business Name,Textiles,Ekiti,REJECTED,Missing or invalid registration date
BUS0000201,SmartServe Services,RC747832,registered,2025-04-03,Non-Profit Organization,Facility Management,Gombe,FLAGGED,Recently registered business
BUS0000202,GreenField Farms Ltd,RC906602,registered,,Sole Proprietorship,Pharmaceuticals,Sokoto,REJECTED,Missing or invalid registration date
BUS0000203,Pioneer Foods,RC986252,registered,,Public Limited Company,Entertainment,Ekiti,REJECTED,Missing or invalid registration date
BUS0000204,Alpha Systems Ltd,RC265495,registered,2023-12-09,Cooperative Society,Marketing,Gombe,VERIFIED,Business passed basic verification
BUS0000205,BlueOcean Logistics,RC281720,registered,,Business Name,Human Resources,Bayelsa,REJECTED,Missing or invalid registration date
BUS0000206,Evergreen Agro,RC394352,registered,,Business Name,Legal Services,Borno,REJECTED,Missing or invalid registration date
BUS0000207,Zenith Media,RC649170,registered,,Non-Profit Organization,Food Processing,Benue,REJECTED,Missing or invalid registration date
BUS0000208,GreenField Farms Ltd,RC856955,registered,,Limited Liability Company,Telecommunications,Zamfara,REJECTED,Missing or invalid registration date
BUS0000209,SkyHigh Enterprises,RC194064,registered,,Enterprise,Telecommunications,Imo,REJECTED,Missing or invalid registration date
BUS0000210,Guardian Security Services,RC450448,registered,,Public Limited Company,Education,Abia,REJECTED,Missing or invalid registration date
BUS0000211,Cornerstone Ventures,RC341884,registered,,Sole Proprietorship,Education,Ebonyi,REJECTED,Missing or invalid registration date
BUS0000212,Nimbus IT Solutions,RC131898,registered,,Sole Proprietorship,E-commerce,Gombe,REJECTED,Missing or invalid registration date
BUS0000213,Urban Retail Hub,RC761703,registered,,Sole Proprietorship,Entertainment,Katsina,REJECTED,Missing or invalid registration date
BUS0000214,Horizon Auto Parts,RC949175,registered,2024-02-03,Enterprise,Automotive,Rivers,VERIFIED,Business passed basic verification
BUS0000215,Cornerstone Ventures,RC708316,registered,2023-04-04,Non-Profit Organization,Manufacturing,Oyo,VERIFIED,Business passed basic verification
BUS0000216,Atlas Transport,RC915129,registered,2022-05-12,Public Limited Company,Entertainment,Oyo,VERIFIED,Business passed basic verification
BUS0000217,MetroLink Ventures,RC424552,registered,,Limited Liability Company,Pharmaceuticals,Rivers,REJECTED,Missing or invalid registration date
BUS0000218,Unity Supplies Nigeria,RC721939,registered,2023-05-01,Partnership,Renewable Energy,Lagos,VERIFIED,Business passed basic verification
BUS0000219,Prime Health Supplies,RC870433,registered,,Enterprise,EdTech,Katsina,REJECTED,Missing or invalid registration date
